latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.01933,29.015692,48.0,10800,Europe/Istanbul,GMT+3

time,precipitation_sum (mm),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2000-01-27,0.00,-3.0,0.00,0.00
2000-01-28,0.00,1.6,0.00,0.00
2000-01-29,0.00,2.2,0.00,0.00
2000-01-30,0.00,6.7,0.00,0.00
2000-01-31,0.00,8.0,0.00,0.00
2000-02-01,0.20,8.1,0.20,0.00
2000-02-02,0.00,6.8,0.00,0.00
2000-02-03,1.70,9.5,1.70,0.00
2000-02-04,15.40,5.9,15.40,0.00
2000-02-05,0.20,2.9,0.20,0.00
2000-02-06,0.00,6.4,0.00,0.00
2000-02-07,0.00,7.6,0.00,0.00
2000-02-08,0.00,7.2,0.00,0.00
2000-02-09,0.00,10.2,0.00,0.00
2000-02-10,0.20,10.4,0.20,0.00
2000-02-11,0.20,7.7,0.20,0.00
2000-02-12,0.10,6.8,0.10,0.00
2000-02-13,0.00,5.8,0.00,0.00
2000-02-14,0.00,4.3,0.00,0.00
2000-02-15,7.30,3.4,7.30,0.00
2000-02-16,2.60,4.5,2.60,0.00
2000-02-17,0.00,6.8,0.00,0.00
2000-02-18,2.00,10.3,2.00,0.00
2000-02-19,8.40,5.3,8.20,0.14
2000-02-20,4.20,7.9,4.20,0.00
2000-02-21,17.80,6.7,17.80,0.00
2000-02-22,0.30,3.1,0.30,0.00
2000-02-23,0.00,2.5,0.00,0.00
2000-02-24,0.00,2.8,0.00,0.00
2000-02-25,0.00,3.1,0.00,0.00
2000-02-26,3.00,4.5,3.00,0.00
2000-02-27,0.20,4.5,0.20,0.00
2000-02-28,1.40,3.6,1.40,0.00
2000-02-29,0.00,4.3,0.00,0.00
2000-03-01,0.00,4.8,0.00,0.00
2000-03-02,0.00,7.0,0.00,0.00
2000-03-03,1.10,9.1,1.10,0.00
2000-03-04,0.20,7.3,0.20,0.00
2000-03-05,5.10,9.6,5.10,0.00
2000-03-06,17.10,3.0,12.30,3.36
2000-03-07,0.00,3.5,0.00,0.00
2000-03-08,0.00,6.9,0.00,0.00
2000-03-09,0.00,9.6,0.00,0.00
2000-03-10,13.60,11.0,13.60,0.00
2000-03-11,3.60,5.6,3.60,0.00
2000-03-12,0.10,8.1,0.10,0.00
2000-03-13,0.00,6.5,0.00,0.00
2000-03-14,0.00,4.8,0.00,0.00
2000-03-15,0.00,6.0,0.00,0.00
2000-03-16,13.60,6.8,12.40,0.84
2000-03-17,18.60,3.0,9.50,6.37
2000-03-18,6.00,3.3,6.00,0.00
2000-03-19,3.40,3.5,3.30,0.07
2000-03-20,0.80,4.1,0.80,0.00
2000-03-21,1.40,4.6,1.40,0.00
2000-03-22,0.40,4.3,0.40,0.00
2000-03-23,0.00,5.1,0.00,0.00
2000-03-24,0.00,6.6,0.00,0.00
2000-03-25,0.00,7.9,0.00,0.00
2000-03-26,0.00,9.3,0.00,0.00
2000-03-27,0.10,12.3,0.10,0.00
2000-03-28,0.00,13.0,0.00,0.00
2000-03-29,0.00,12.1,0.00,0.00
2000-03-30,0.00,13.8,0.00,0.00
2000-03-31,0.00,13.3,0.00,0.00
2000-04-01,0.00,14.6,0.00,0.00
2000-04-02,0.00,14.7,0.00,0.00
2000-04-03,0.00,12.8,0.00,0.00
2000-04-04,0.00,15.5,0.00,0.00
2000-04-05,0.00,18.1,0.00,0.00
2000-04-06,0.00,14.9,0.00,0.00
2000-04-07,1.60,11.4,1.60,0.00
2000-04-08,1.90,8.0,1.90,0.00
2000-04-09,0.00,8.3,0.00,0.00
2000-04-10,0.00,9.8,0.00,0.00
2000-04-11,6.70,10.7,6.70,0.00
2000-04-12,2.30,12.7,2.30,0.00
2000-04-13,3.80,11.3,3.80,0.00
2000-04-14,0.00,11.4,0.00,0.00
2000-04-15,0.00,13.7,0.00,0.00
2000-04-16,0.00,15.3,0.00,0.00
2000-04-17,0.00,14.8,0.00,0.00
2000-04-18,0.00,13.0,0.00,0.00
2000-04-19,4.90,12.5,4.90,0.00
2000-04-20,16.60,12.2,16.60,0.00
2000-04-21,1.90,12.9,1.90,0.00
2000-04-22,4.50,14.1,4.50,0.00
2000-04-23,9.50,13.7,9.50,0.00
2000-04-24,8.00,13.9,8.00,0.00
2000-04-25,0.60,16.4,0.60,0.00
2000-04-26,8.10,15.1,8.10,0.00
2000-04-27,7.10,12.7,7.10,0.00
2000-04-28,2.20,13.1,2.20,0.00
2000-04-29,4.80,13.4,4.80,0.00
2000-04-30,0.00,14.6,0.00,0.00
2000-05-01,0.00,14.6,0.00,0.00
2000-05-02,8.70,14.5,8.70,0.00
2000-05-03,9.40,11.4,9.40,0.00
2000-05-04,0.00,10.7,0.00,0.00
2000-05-05,0.00,10.7,0.00,0.00
2000-05-06,0.00,10.9,0.00,0.00
2000-05-07,0.00,12.7,0.00,0.00
2000-05-08,0.00,13.5,0.00,0.00
2000-05-09,0.00,12.9,0.00,0.00
2000-05-10,0.00,14.4,0.00,0.00
2000-05-11,0.00,16.3,0.00,0.00
2000-05-12,0.00,18.5,0.00,0.00
2000-05-13,3.20,16.5,3.20,0.00
2000-05-14,0.00,14.0,0.00,0.00
2000-05-15,0.00,14.8,0.00,0.00
2000-05-16,0.00,15.8,0.00,0.00
2000-05-17,0.00,16.7,0.00,0.00
2000-05-18,0.00,15.9,0.00,0.00
2000-05-19,0.00,15.9,0.00,0.00
2000-05-20,0.00,17.8,0.00,0.00
2000-05-21,0.00,19.9,0.00,0.00
2000-05-22,0.00,19.2,0.00,0.00
2000-05-23,0.00,19.2,0.00,0.00
2000-05-24,13.10,15.8,13.10,0.00
2000-05-25,32.80,15.3,32.80,0.00
2000-05-26,1.60,19.2,1.60,0.00
2000-05-27,0.00,18.8,0.00,0.00
2000-05-28,0.00,18.7,0.00,0.00
2000-05-29,0.00,18.3,0.00,0.00
2000-05-30,0.00,18.8,0.00,0.00
2000-05-31,0.10,18.2,0.10,0.00
2000-06-01,3.50,18.3,3.50,0.00
2000-06-02,7.70,16.3,7.70,0.00
2000-06-03,0.70,17.4,0.70,0.00
2000-06-04,0.60,19.0,0.60,0.00
2000-06-05,0.00,19.6,0.00,0.00
2000-06-06,0.00,20.2,0.00,0.00
2000-06-07,0.00,19.8,0.00,0.00
2000-06-08,0.00,20.3,0.00,0.00
2000-06-09,0.00,21.1,0.00,0.00
2000-06-10,0.00,20.5,0.00,0.00
2000-06-11,0.00,19.3,0.00,0.00
2000-06-12,0.00,19.5,0.00,0.00
2000-06-13,0.00,19.6,0.00,0.00
2000-06-14,0.00,20.8,0.00,0.00
2000-06-15,0.00,21.2,0.00,0.00
2000-06-16,0.00,22.4,0.00,0.00
2000-06-17,3.40,20.4,3.40,0.00
2000-06-18,9.70,16.4,9.70,0.00
2000-06-19,0.80,15.9,0.80,0.00
2000-06-20,0.00,16.7,0.00,0.00
2000-06-21,0.00,17.8,0.00,0.00
2000-06-22,0.00,21.8,0.00,0.00
2000-06-23,0.00,22.7,0.00,0.00
2000-06-24,0.00,24.0,0.00,0.00
2000-06-25,0.00,24.5,0.00,0.00
2000-06-26,0.00,25.6,0.00,0.00
2000-06-27,0.10,22.0,0.10,0.00
2000-06-28,1.40,20.5,1.40,0.00
2000-06-29,0.00,20.2,0.00,0.00
2000-06-30,0.20,20.4,0.20,0.00
2000-07-01,0.00,20.6,0.00,0.00
2000-07-02,0.00,21.1,0.00,0.00
2000-07-03,0.00,22.4,0.00,0.00
2000-07-04,0.00,24.5,0.00,0.00
2000-07-05,0.00,26.7,0.00,0.00
2000-07-06,0.00,26.1,0.00,0.00
2000-07-07,0.00,24.6,0.00,0.00
2000-07-08,0.00,25.3,0.00,0.00
2000-07-09,0.00,27.0,0.00,0.00
2000-07-10,0.00,23.1,0.00,0.00
2000-07-11,0.00,22.5,0.00,0.00
2000-07-12,0.00,24.8,0.00,0.00
2000-07-13,0.00,28.0,0.00,0.00
2000-07-14,0.00,22.4,0.00,0.00
2000-07-15,0.00,22.2,0.00,0.00
2000-07-16,0.00,23.7,0.00,0.00
2000-07-17,0.10,23.6,0.10,0.00
2000-07-18,0.00,23.5,0.00,0.00
2000-07-19,0.00,22.3,0.00,0.00
2000-07-20,0.80,21.2,0.80,0.00
2000-07-21,0.90,21.7,0.90,0.00
2000-07-22,7.20,20.9,7.20,0.00
2000-07-23,0.20,21.3,0.20,0.00
2000-07-24,0.00,23.9,0.00,0.00
2000-07-25,0.00,25.3,0.00,0.00
2000-07-26,0.00,26.6,0.00,0.00
2000-07-27,0.00,27.3,0.00,0.00
2000-07-28,0.00,26.5,0.00,0.00
2000-07-29,0.00,26.2,0.00,0.00
2000-07-30,0.00,24.8,0.00,0.00
2000-07-31,0.00,24.0,0.00,0.00
2000-08-01,9.50,21.1,9.50,0.00
2000-08-02,1.10,21.3,1.10,0.00
2000-08-03,0.00,22.7,0.00,0.00
2000-08-04,0.00,22.7,0.00,0.00
2000-08-05,0.00,23.3,0.00,0.00
2000-08-06,0.00,24.2,0.00,0.00
2000-08-07,0.00,24.5,0.00,0.00
2000-08-08,0.00,23.9,0.00,0.00
2000-08-09,0.00,24.1,0.00,0.00
2000-08-10,0.00,23.9,0.00,0.00
2000-08-11,0.20,24.3,0.20,0.00
2000-08-12,2.20,23.8,2.20,0.00
2000-08-13,0.00,24.4,0.00,0.00
2000-08-14,0.00,24.7,0.00,0.00
2000-08-15,0.00,24.8,0.00,0.00
2000-08-16,0.00,24.7,0.00,0.00
2000-08-17,0.00,24.3,0.00,0.00
2000-08-18,0.00,24.6,0.00,0.00
2000-08-19,0.00,24.9,0.00,0.00
2000-08-20,0.00,25.3,0.00,0.00
2000-08-21,0.00,25.3,0.00,0.00
2000-08-22,0.00,25.6,0.00,0.00
2000-08-23,0.00,26.1,0.00,0.00
2000-08-24,0.00,25.9,0.00,0.00
2000-08-25,0.30,24.2,0.30,0.00
2000-08-26,1.60,22.2,1.60,0.00
2000-08-27,4.80,19.1,4.80,0.00
2000-08-28,0.10,21.0,0.10,0.00
2000-08-29,0.00,20.9,0.00,0.00
2000-08-30,0.40,20.5,0.40,0.00
2000-08-31,0.00,22.1,0.00,0.00
2000-09-01,0.00,23.6,0.00,0.00
2000-09-02,0.00,23.3,0.00,0.00
2000-09-03,0.00,24.2,0.00,0.00
2000-09-04,0.00,25.3,0.00,0.00
2000-09-05,0.00,25.3,0.00,0.00
2000-09-06,26.50,19.8,26.50,0.00
2000-09-07,4.80,17.0,4.80,0.00
2000-09-08,0.00,18.8,0.00,0.00
2000-09-09,0.00,20.4,0.00,0.00
2000-09-10,0.00,20.3,0.00,0.00
2000-09-11,0.00,20.9,0.00,0.00
2000-09-12,0.00,20.4,0.00,0.00
2000-09-13,0.00,20.5,0.00,0.00
2000-09-14,0.00,21.1,0.00,0.00
2000-09-15,0.00,21.2,0.00,0.00
2000-09-16,0.00,20.7,0.00,0.00
2000-09-17,0.00,21.0,0.00,0.00
2000-09-18,0.00,22.4,0.00,0.00
2000-09-19,0.00,24.0,0.00,0.00
2000-09-20,0.00,23.5,0.00,0.00
2000-09-21,0.00,24.3,0.00,0.00
2000-09-22,0.00,23.4,0.00,0.00
2000-09-23,0.10,21.8,0.10,0.00
2000-09-24,6.30,17.8,6.30,0.00
2000-09-25,2.60,14.8,2.60,0.00
2000-09-26,2.40,14.2,2.40,0.00
2000-09-27,2.30,14.7,2.30,0.00
2000-09-28,0.30,16.2,0.30,0.00
2000-09-29,0.10,16.7,0.10,0.00
2000-09-30,0.00,17.0,0.00,0.00
2000-10-01,0.00,17.5,0.00,0.00
2000-10-02,0.00,17.5,0.00,0.00
2000-10-03,0.00,18.3,0.00,0.00
2000-10-04,0.00,19.0,0.00,0.00
2000-10-05,0.00,18.9,0.00,0.00
2000-10-06,0.00,19.0,0.00,0.00
2000-10-07,2.60,18.4,2.60,0.00
2000-10-08,6.40,18.0,6.40,0.00
2000-10-09,2.00,17.6,2.00,0.00
2000-10-10,18.00,17.2,18.00,0.00
2000-10-11,1.90,16.9,1.90,0.00
2000-10-12,0.00,17.9,0.00,0.00
2000-10-13,0.00,17.4,0.00,0.00
2000-10-14,0.00,16.9,0.00,0.00
2000-10-15,0.00,16.0,0.00,0.00
2000-10-16,0.00,16.6,0.00,0.00
2000-10-17,0.00,16.6,0.00,0.00
2000-10-18,0.00,15.6,0.00,0.00
2000-10-19,0.20,14.6,0.20,0.00
2000-10-20,2.40,13.1,2.40,0.00
2000-10-21,13.10,12.0,13.10,0.00
2000-10-22,9.80,11.0,9.80,0.00
2000-10-23,13.50,11.7,13.50,0.00
2000-10-24,2.10,12.1,2.10,0.00
2000-10-25,0.00,12.4,0.00,0.00
2000-10-26,0.00,12.5,0.00,0.00
2000-10-27,0.00,13.2,0.00,0.00
2000-10-28,1.40,13.3,1.40,0.00
2000-10-29,0.00,12.0,0.00,0.00
2000-10-30,0.00,12.4,0.00,0.00
2000-10-31,0.00,12.6,0.00,0.00
2000-11-01,0.00,12.7,0.00,0.00
2000-11-02,0.00,14.5,0.00,0.00
2000-11-03,4.90,14.6,4.90,0.00
2000-11-04,0.00,14.0,0.00,0.00
2000-11-05,0.00,14.0,0.00,0.00
2000-11-06,0.00,15.0,0.00,0.00
2000-11-07,0.00,15.7,0.00,0.00
2000-11-08,0.00,18.3,0.00,0.00
2000-11-09,0.00,17.6,0.00,0.00
2000-11-10,0.00,15.5,0.00,0.00
2000-11-11,0.40,14.2,0.40,0.00
2000-11-12,0.30,13.2,0.30,0.00
2000-11-13,0.00,11.8,0.00,0.00
2000-11-14,0.00,11.9,0.00,0.00
2000-11-15,0.00,12.6,0.00,0.00
2000-11-16,0.00,11.8,0.00,0.00
2000-11-17,0.00,11.7,0.00,0.00
2000-11-18,0.00,11.2,0.00,0.00
2000-11-19,0.00,12.8,0.00,0.00
2000-11-20,0.10,13.3,0.10,0.00
2000-11-21,0.60,13.4,0.60,0.00
2000-11-22,0.00,11.9,0.00,0.00
2000-11-23,0.00,12.2,0.00,0.00
2000-11-24,0.00,11.6,0.00,0.00
2000-11-25,0.00,11.2,0.00,0.00
2000-11-26,1.70,13.4,1.70,0.00
2000-11-27,3.90,13.4,3.90,0.00
2000-11-28,3.80,12.1,3.80,0.00
2000-11-29,17.10,9.5,17.10,0.00
2000-11-30,1.10,9.9,1.10,0.00
2000-12-01,0.00,10.8,0.00,0.00
2000-12-02,0.00,10.4,0.00,0.00
2000-12-03,0.00,10.1,0.00,0.00
2000-12-04,0.00,9.6,0.00,0.00
2000-12-05,0.00,9.8,0.00,0.00
2000-12-06,0.00,10.4,0.00,0.00
2000-12-07,0.10,9.8,0.10,0.00
2000-12-08,0.10,8.8,0.10,0.00
2000-12-09,0.00,8.2,0.00,0.00
2000-12-10,0.00,7.9,0.00,0.00
2000-12-11,2.00,8.6,2.00,0.00
2000-12-12,8.80,9.2,8.80,0.00
2000-12-13,0.00,9.1,0.00,0.00
2000-12-14,0.00,8.9,0.00,0.00
2000-12-15,0.00,10.7,0.00,0.00
2000-12-16,1.30,14.1,1.30,0.00
2000-12-17,9.10,9.5,9.10,0.00
2000-12-18,0.00,8.2,0.00,0.00
2000-12-19,4.80,7.2,4.80,0.00
2000-12-20,5.70,4.6,5.70,0.00
2000-12-21,1.70,3.1,1.60,0.07
2000-12-22,2.80,2.9,2.70,0.07
2000-12-23,2.40,4.9,2.40,0.00
2000-12-24,1.90,5.3,1.90,0.00
2000-12-25,0.00,6.4,0.00,0.00
2000-12-26,0.00,9.8,0.00,0.00
2000-12-27,1.30,12.7,1.30,0.00
2000-12-28,0.00,12.1,0.00,0.00
2000-12-29,0.00,11.3,0.00,0.00
2000-12-30,0.50,11.0,0.50,0.00
2000-12-31,0.40,11.5,0.40,0.00
2001-01-01,1.50,10.6,1.50,0.00
2001-01-02,1.40,9.0,1.40,0.00
2001-01-03,0.00,8.6,0.00,0.00
2001-01-04,0.00,9.5,0.00,0.00
2001-01-05,0.00,8.7,0.00,0.00
2001-01-06,0.00,8.4,0.00,0.00
2001-01-07,0.00,8.3,0.00,0.00
2001-01-08,0.00,11.2,0.00,0.00
2001-01-09,0.90,12.7,0.90,0.00
2001-01-10,0.00,10.5,0.00,0.00
2001-01-11,0.00,7.0,0.00,0.00
2001-01-12,0.00,8.9,0.00,0.00
2001-01-13,1.20,7.6,1.20,0.00
2001-01-14,10.10,5.0,10.10,0.00
2001-01-15,5.00,6.7,5.00,0.00
2001-01-16,4.30,6.9,4.30,0.00
2001-01-17,0.00,7.1,0.00,0.00
2001-01-18,0.00,6.8,0.00,0.00
2001-01-19,1.00,5.6,1.00,0.00
2001-01-20,0.90,4.8,0.90,0.00
2001-01-21,0.00,4.5,0.00,0.00
2001-01-22,0.00,3.7,0.00,0.00
2001-01-23,0.00,3.8,0.00,0.00
2001-01-24,0.00,4.0,0.00,0.00
2001-01-25,0.00,3.9,0.00,0.00
2001-01-26,0.00,5.9,0.00,0.00
2001-01-27,0.00,7.5,0.00,0.00
2001-01-28,0.60,10.7,0.60,0.00
2001-01-29,0.20,12.3,0.20,0.00
2001-01-30,0.00,11.1,0.00,0.00
2001-01-31,1.90,9.4,1.90,0.00
2001-02-01,9.50,7.9,9.50,0.00
2001-02-02,8.90,6.7,8.90,0.00
2001-02-03,9.90,4.0,9.90,0.00
2001-02-04,0.00,3.5,0.00,0.00
2001-02-05,0.00,7.7,0.00,0.00
2001-02-06,0.00,10.3,0.00,0.00
2001-02-07,0.00,8.6,0.00,0.00
2001-02-08,0.00,8.3,0.00,0.00
2001-02-09,0.00,8.9,0.00,0.00
2001-02-10,0.00,8.9,0.00,0.00
2001-02-11,0.00,7.3,0.00,0.00
2001-02-12,1.40,6.9,1.40,0.00
2001-02-13,0.40,6.8,0.40,0.00
2001-02-14,3.00,6.0,3.00,0.00
2001-02-15,6.10,5.3,6.10,0.00
2001-02-16,0.60,5.2,0.60,0.00
2001-02-17,0.00,5.2,0.00,0.00
2001-02-18,0.00,5.4,0.00,0.00
2001-02-19,9.10,4.6,9.10,0.00
2001-02-20,0.30,2.8,0.30,0.00
2001-02-21,0.50,3.7,0.50,0.00
2001-02-22,3.10,7.2,3.10,0.00
2001-02-23,8.40,8.1,8.40,0.00
2001-02-24,3.30,11.2,3.30,0.00
2001-02-25,0.20,12.7,0.20,0.00
2001-02-26,0.00,13.3,0.00,0.00
2001-02-27,2.60,11.2,2.60,0.00
2001-02-28,0.00,7.4,0.00,0.00
2001-03-01,1.70,9.9,1.70,0.00
2001-03-02,3.30,10.7,3.30,0.00
2001-03-03,0.00,13.1,0.00,0.00
2001-03-04,0.00,15.0,0.00,0.00
2001-03-05,0.00,14.8,0.00,0.00
2001-03-06,7.40,10.3,7.40,0.00
2001-03-07,6.90,6.2,6.90,0.00
2001-03-08,0.00,6.3,0.00,0.00
2001-03-09,0.00,8.0,0.00,0.00
2001-03-10,0.00,8.8,0.00,0.00
2001-03-11,0.00,10.3,0.00,0.00
2001-03-12,0.00,10.8,0.00,0.00
2001-03-13,0.00,9.8,0.00,0.00
2001-03-14,1.70,12.1,1.70,0.00
2001-03-15,2.30,11.3,2.30,0.00
2001-03-16,0.00,11.9,0.00,0.00
2001-03-17,0.00,13.1,0.00,0.00
2001-03-18,0.00,15.1,0.00,0.00
2001-03-19,0.00,15.6,0.00,0.00
2001-03-20,2.40,15.1,2.40,0.00
2001-03-21,0.00,12.4,0.00,0.00
2001-03-22,0.50,13.7,0.50,0.00
2001-03-23,15.50,9.7,15.50,0.00
2001-03-24,0.00,9.7,0.00,0.00
2001-03-25,0.00,14.9,0.00,0.00
2001-03-26,0.00,18.9,0.00,0.00
2001-03-27,0.00,17.7,0.00,0.00
2001-03-28,5.10,13.3,5.10,0.00
2001-03-29,0.00,8.1,0.00,0.00
2001-03-30,0.00,7.9,0.00,0.00
2001-03-31,5.90,8.0,5.90,0.00
2001-04-01,4.20,8.3,4.20,0.00
2001-04-02,1.80,7.9,1.80,0.00
2001-04-03,0.00,8.1,0.00,0.00
2001-04-04,0.10,8.4,0.10,0.00
2001-04-05,0.00,8.9,0.00,0.00
2001-04-06,0.00,11.5,0.00,0.00
2001-04-07,0.20,13.3,0.20,0.00
2001-04-08,0.00,12.9,0.00,0.00
2001-04-09,0.00,14.6,0.00,0.00
2001-04-10,1.00,12.6,1.00,0.00
2001-04-11,1.10,12.6,1.10,0.00
2001-04-12,0.80,12.3,0.80,0.00
2001-04-13,4.20,14.0,4.20,0.00
2001-04-14,10.10,10.1,10.10,0.00
2001-04-15,1.60,11.4,1.60,0.00
2001-04-16,1.60,11.0,1.60,0.00
2001-04-17,0.00,11.8,0.00,0.00
2001-04-18,12.30,12.2,12.30,0.00
2001-04-19,0.60,13.3,0.60,0.00
2001-04-20,0.00,15.2,0.00,0.00
2001-04-21,1.50,16.3,1.50,0.00
2001-04-22,1.10,17.2,1.10,0.00
2001-04-23,0.20,13.8,0.20,0.00
2001-04-24,3.80,13.9,3.80,0.00
2001-04-25,0.00,14.8,0.00,0.00
2001-04-26,0.00,14.6,0.00,0.00
2001-04-27,0.00,15.9,0.00,0.00
2001-04-28,0.00,17.3,0.00,0.00
2001-04-29,0.00,14.5,0.00,0.00
2001-04-30,0.00,13.4,0.00,0.00
2001-05-01,0.00,14.6,0.00,0.00
2001-05-02,0.00,14.9,0.00,0.00
2001-05-03,0.00,14.4,0.00,0.00
2001-05-04,0.00,16.3,0.00,0.00
2001-05-05,0.00,18.4,0.00,0.00
2001-05-06,4.70,17.3,4.70,0.00
2001-05-07,2.60,15.5,2.60,0.00
2001-05-08,1.50,15.1,1.50,0.00
2001-05-09,7.50,14.5,7.50,0.00
2001-05-10,0.00,13.1,0.00,0.00
2001-05-11,0.00,13.1,0.00,0.00
2001-05-12,0.00,14.7,0.00,0.00
2001-05-13,0.00,13.0,0.00,0.00
2001-05-14,0.00,12.1,0.00,0.00
2001-05-15,0.00,12.3,0.00,0.00
2001-05-16,0.00,14.6,0.00,0.00
2001-05-17,0.00,16.2,0.00,0.00
2001-05-18,0.00,17.6,0.00,0.00
2001-05-19,0.00,19.3,0.00,0.00
2001-05-20,1.00,17.0,1.00,0.00
2001-05-21,0.00,16.0,0.00,0.00
2001-05-22,0.00,17.0,0.00,0.00
2001-05-23,0.00,16.3,0.00,0.00
2001-05-24,0.00,14.9,0.00,0.00
2001-05-25,0.10,16.1,0.10,0.00
2001-05-26,0.20,16.9,0.20,0.00
2001-05-27,0.00,16.7,0.00,0.00
2001-05-28,0.00,17.4,0.00,0.00
2001-05-29,2.20,19.5,2.20,0.00
2001-05-30,0.80,21.5,0.80,0.00
2001-05-31,0.00,21.5,0.00,0.00
2001-06-01,0.00,23.6,0.00,0.00
2001-06-02,0.00,18.7,0.00,0.00
2001-06-03,0.00,20.7,0.00,0.00
2001-06-04,0.20,21.7,0.20,0.00
2001-06-05,0.20,17.0,0.20,0.00
2001-06-06,0.00,17.5,0.00,0.00
2001-06-07,0.00,19.1,0.00,0.00
2001-06-08,0.00,19.2,0.00,0.00
2001-06-09,0.00,20.0,0.00,0.00
2001-06-10,0.00,21.1,0.00,0.00
2001-06-11,0.00,22.7,0.00,0.00
2001-06-12,0.00,23.0,0.00,0.00
2001-06-13,0.00,20.6,0.00,0.00
2001-06-14,0.00,21.3,0.00,0.00
2001-06-15,0.20,19.3,0.20,0.00
2001-06-16,0.30,19.2,0.30,0.00
2001-06-17,0.00,19.9,0.00,0.00
2001-06-18,0.00,21.2,0.00,0.00
2001-06-19,0.00,22.3,0.00,0.00
2001-06-20,0.00,22.3,0.00,0.00
2001-06-21,0.00,21.2,0.00,0.00
2001-06-22,0.00,21.7,0.00,0.00
2001-06-23,0.00,23.2,0.00,0.00
2001-06-24,0.00,22.1,0.00,0.00
2001-06-25,0.00,21.5,0.00,0.00
2001-06-26,0.10,21.5,0.10,0.00
2001-06-27,0.00,22.3,0.00,0.00
2001-06-28,0.00,22.7,0.00,0.00
2001-06-29,0.00,23.2,0.00,0.00
2001-06-30,0.00,22.0,0.00,0.00
2001-07-01,0.00,22.1,0.00,0.00
2001-07-02,0.00,22.5,0.00,0.00
2001-07-03,2.70,22.5,2.70,0.00
2001-07-04,0.30,22.7,0.30,0.00
2001-07-05,0.00,22.8,0.00,0.00
2001-07-06,0.00,23.0,0.00,0.00
2001-07-07,0.40,23.5,0.40,0.00
2001-07-08,0.00,24.1,0.00,0.00
2001-07-09,0.00,27.1,0.00,0.00
2001-07-10,0.00,25.7,0.00,0.00
2001-07-11,0.00,24.7,0.00,0.00
2001-07-12,0.00,24.8,0.00,0.00
2001-07-13,0.00,25.5,0.00,0.00
2001-07-14,0.00,25.9,0.00,0.00
2001-07-15,0.00,26.3,0.00,0.00
2001-07-16,0.00,26.4,0.00,0.00
2001-07-17,0.00,25.4,0.00,0.00
2001-07-18,0.00,26.2,0.00,0.00
2001-07-19,0.00,26.3,0.00,0.00
2001-07-20,0.00,26.7,0.00,0.00
2001-07-21,0.00,26.9,0.00,0.00
2001-07-22,0.10,25.1,0.10,0.00
2001-07-23,0.10,25.1,0.10,0.00
2001-07-24,0.00,25.7,0.00,0.00
2001-07-25,0.00,26.0,0.00,0.00
2001-07-26,0.00,26.0,0.00,0.00
2001-07-27,0.00,26.4,0.00,0.00
2001-07-28,0.00,26.5,0.00,0.00
2001-07-29,0.00,26.4,0.00,0.00
2001-07-30,0.00,26.6,0.00,0.00
2001-07-31,0.50,26.8,0.50,0.00
2001-08-01,2.10,26.3,2.10,0.00
2001-08-02,3.90,25.9,3.90,0.00
2001-08-03,0.20,25.3,0.20,0.00
2001-08-04,0.00,25.1,0.00,0.00
2001-08-05,0.00,25.2,0.00,0.00
2001-08-06,0.00,25.1,0.00,0.00
2001-08-07,0.00,25.4,0.00,0.00
2001-08-08,0.00,25.7,0.00,0.00
2001-08-09,0.00,26.7,0.00,0.00
2001-08-10,0.00,27.1,0.00,0.00
2001-08-11,0.00,27.0,0.00,0.00
2001-08-12,0.00,26.5,0.00,0.00
2001-08-13,9.00,24.5,9.00,0.00
2001-08-14,5.90,23.4,5.90,0.00
2001-08-15,0.00,24.4,0.00,0.00
2001-08-16,0.00,24.9,0.00,0.00
2001-08-17,0.00,24.8,0.00,0.00
2001-08-18,0.00,25.0,0.00,0.00
2001-08-19,0.40,24.1,0.40,0.00
2001-08-20,0.30,24.6,0.30,0.00
2001-08-21,0.20,24.6,0.20,0.00
2001-08-22,0.00,24.2,0.00,0.00
2001-08-23,0.40,23.9,0.40,0.00
2001-08-24,0.50,24.5,0.50,0.00
2001-08-25,0.00,25.1,0.00,0.00
2001-08-26,0.00,24.2,0.00,0.00
2001-08-27,0.00,24.1,0.00,0.00
2001-08-28,0.00,24.2,0.00,0.00
2001-08-29,0.00,24.1,0.00,0.00
2001-08-30,0.50,22.1,0.50,0.00
2001-08-31,0.00,21.4,0.00,0.00
2001-09-01,0.00,22.2,0.00,0.00
2001-09-02,0.00,23.4,0.00,0.00
2001-09-03,0.10,23.1,0.10,0.00
2001-09-04,0.00,23.0,0.00,0.00
2001-09-05,0.00,23.6,0.00,0.00
2001-09-06,3.40,23.9,3.40,0.00
2001-09-07,1.70,22.6,1.70,0.00
2001-09-08,0.50,21.3,0.50,0.00
2001-09-09,0.00,22.2,0.00,0.00
2001-09-10,0.00,24.3,0.00,0.00
2001-09-11,0.20,24.9,0.20,0.00
2001-09-12,14.10,18.9,14.10,0.00
2001-09-13,0.00,19.8,0.00,0.00
2001-09-14,0.00,20.2,0.00,0.00
2001-09-15,0.00,21.6,0.00,0.00
2001-09-16,0.00,21.4,0.00,0.00
2001-09-17,0.00,22.9,0.00,0.00
2001-09-18,0.00,23.3,0.00,0.00
2001-09-19,0.00,23.5,0.00,0.00
2001-09-20,0.00,22.6,0.00,0.00
